"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"","high","0.0","0.0","0.0","2.3","29.4","0.2","0.0","6.3"
"","low","0.0","0.0","0.0","1.1","16.2","0.1","0.0","2.2"
"Tanner Gentry","CHI ","0.0","0.0","0.0","1.7","20.8","0.1","0.1","2.8"
"","high","0.0","0.0","0.0","2.1","27.1","0.2","0.0","5.8"
"","low","0.0","0.0","0.0","1.2","12.7","0.0","0.1","1.5"
"Russell Shepard","CAR ","0.0","0.1","0.0","1.6","21.5","0.1","0.0","2.8"
"","high","0.0","0.3","0.0","1.8","25.3","0.1","0.0","4.3"
"","low","0.0","0.0","0.0","1.3","16.6","0.1","0.0","2.4"
"Kamar Aiken","IND ","0.0","0.0","0.0","1.9","21.9","0.1","0.0","2.8"
"","high","0.0","0.0","0.0","2.5","27.9","0.1","0.0","4.0"
"","low","0.0","0.0","0.0","1.4","17.1","0.1","0.0","2.2"
"Cordarrelle Patterson","OAK ","1.2","9.9","0.0","1.2","12.4","0.1","0.0","2.8"
"","high","1.7","14.0","0.0","1.6","17.1","0.1","0.0","3.8"
"","low","0.4","2.2","0.0","0.9","8.1","0.0","0.0","1.3"
"Kasen Williams","CLE ","0.0","0.0","0.0","2.0","21.3","0.1","0.0","2.6"
"","high","0.0","0.0","0.0","2.7","27.1","0.1","0.0","4.3"
"","low","0.0","0.0","0.0","1.3","16.0","0.0","0.0","1.9"
"Bruce Ellington","HOU ","0.1","0.6","0.0","1.7","19.1","0.1","0.1","2.5"
"","high","0.3","1.8","0.0","2.5","25.3","0.2","0.0","5.4"
"","low","0.0","0.0","0.0","0.4","4.6","0.0","0.1","0.6"
"Laquon Treadwell","MIN ","0.0","0.0","0.0","1.6","18.8","0.1","0.0","2.5"
"","high","0.0","0.0","0.0","1.7","20.4","0.1","0.0","3.9"
"","low","0.0","0.0","0.0","1.5","17.7","0.1","0.0","2.4"
"Michael Campanaro","BAL ","0.4","1.9","0.0","1.8","17.1","0.1","0.0","2.4"
"","high","0.6","3.4","0.0","2.6","26.6","0.1","0.0","4.4"
"","low","0.0","0.2","0.0","0.4","4.6","0.0","0.0","0.5"
"Andre Holmes","BUF ","0.0","0.0","0.0","1.1","14.6","0.1","0.0","2.2"
"","high","0.0","0.0","0.0","1.5","19.4","0.2","0.0","4.4"
"","low","0.0","0.0","0.0","0.4","4.7","0.0","0.0","0.6"
"Justin Hardy","ATL ","0.0","0.0","0.0","1.2","15.2","0.1","0.0","2.2"
