"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Jacquizz Rodgers","TB ","2.4","8.8","0.1","0.6","4.5","0.0","0.1","1.6"
"","high","3.1","11.6","0.1","0.9","9.0","0.0","0.0","2.3"
"","low","1.5","6.0","0.0","0.2","1.0","0.0","0.1","1.0"
"Branden Oliver","LAC ","2.0","7.6","0.1","0.8","5.2","0.0","0.1","1.5"
"","high","3.4","12.1","0.1","0.9","7.0","0.0","0.0","2.4"
"","low","1.2","4.7","0.0","0.5","2.9","0.0","0.1","1.2"
"Dwayne Washington","DET ","2.5","8.9","0.0","0.6","3.3","0.0","0.1","1.3"
"","high","3.3","13.5","0.1","0.9","4.7","0.0","0.1","2.3"
"","low","1.6","6.3","0.0","0.3","2.2","0.0","0.1","1.2"
"Kenyan Drake","MIA ","2.0","7.2","0.0","0.6","3.5","0.0","0.1","1.1"
"","high","4.1","13.7","0.1","0.9","5.8","0.0","0.0","2.6"
"","low","1.0","4.0","0.0","0.1","0.4","0.0","0.1","0.5"
"Jamize Olawale","OAK ","0.8","3.9","0.0","0.5","4.8","0.0","0.0","1.1"
"","high","1.3","6.6","0.1","0.7","8.3","0.0","0.0","2.0"
"","low","0.2","0.9","0.0","0.3","2.0","0.0","0.0","0.7"
"Darren McFadden","DAL ","1.3","5.5","0.0","0.3","2.8","0.0","0.0","1.1"
"","high","2.4","10.6","0.1","0.7","5.3","0.0","0.0","2.0"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Benny Cunningham","CHI ","0.7","3.1","0.0","0.5","5.3","0.0","0.1","1.0"
"","high","1.6","6.5","0.0","1.0","12.0","0.1","0.0","2.5"
"","low","0.0","0.0","0.0","0.3","2.4","0.0","0.1","0.4"
"Terron Ward","ATL ","1.0","3.8","0.0","0.5","4.0","0.0","0.0","0.9"
"","high","1.4","5.2","0.0","0.8","7.2","0.0","0.0","1.5"
"","low","0.6","2.5","0.0","0.1","0.9","0.0","0.0","0.3"
"Fozzy Whittaker","CAR ","1.1","4.3","0.0","0.3","3.3","0.0","0.0","0.9"
"","high","1.4","5.7","0.0","0.5","4.4","0.0","0.0","1.2"
"","low","0.9","2.8","0.0","0.2","2.3","0.0","0.0","1.0"
"Zach Zenner","DET ","1.4","4.9","0.0","0.1","0.8","0.0","0.0","0.8"
"","high","3.0","11.0","0.1","0.2","1.5","0.0","0.0","1.8"
"","low","0.3","1.2","0.0","0.0","0.0","0.0","0.0","0.3"
"Kenjon Barner","PHI ","1.3","4.7","0.0","0.1","1.0","0.0","0.1","0.7"
"","high","2.0","7.3","0.1","0.3","2.5","0.0","0.0","1.5"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.1"
"Matt Jones","IND ","1.0","4.0","0.0","0.2","2.1","0.0","0.0","0.7"
"","high","1.3","4.9","0.0","0.3","2.6","0.0","0.0","0.7"
"","low","0.7","3.1","0.0","0.1","1.7","0.0","0.0","0.7"
"Josh Ferguson","IND ","0.8","3.1","0.0","0.2","1.3","0.0","0.0","0.5"
"","high","1.7","6.5","0.0","0.4","3.0","0.0","0.0","1.3"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Rod Smith","DAL ","0.8","3.2","0.0","0.1","0.8","0.0","0.0","0.5"
"","high","2.0","8.0","0.0","0.2","1.4","0.0","0.0","1.2"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Alfred Blue","HOU ","1.0","3.8","0.0","0.2","1.2","0.0","0.0","0.5"
"","high","1.4","5.8","0.0","0.3","1.8","0.0","0.0","1.1"
"","low","0.5","2.0","0.0","0.1","0.4","0.0","0.0","0.5"
"Cameron Artis-Payne","CAR ","0.9","3.5","0.0","0.2","1.4","0.0","0.0","0.5"
"","high","1.7","6.0","0.0","0.4","2.9","0.0","0.0","0.7"
"","low","0.5","2.0","0.0","0.0","0.0","0.0","0.0","0.2"
"Zach Line","NO ","0.2","0.9","0.0","0.2","1.2","0.0","0.0","0.5"
"","high","0.3","1.3","0.1","0.2","1.9","0.0","0.0","0.6"
"","low","0.2","0.4","0.0","0.1","0.8","0.0","0.0","0.2"
"Brandon Bolden","NE ","0.4","1.4","0.0","0.3","2.7","0.0","0.0","0.5"
"","high","0.4","1.4","0.0","0.3","2.7","0.0","0.0","0.5"
